Gs_BSI_ID	region	no_map_num	gap_num	seq_F_start_index	seq_F_end_index	seq_R_start_index	seq_R_end_index	db_F_start_index	db_F_end_index	db_R_start_index	db_R_end_index	length
Gs_BSI1	V3V4	5	3	1	250	1	250	21	270	477	228	457
Gs_BSI2	V3V4	5	3	1	250	1	250	21	270	485	236	465
Gs_BSI3	V3V4	5	3	1	250	1	250	21	270	460	211	440
Gs_BSI4	V3V4	5	3	1	250	1	250	21	270	485	236	465
Gs_BSI5	V3V4	5	3	1	250	1	250	21	270	485	236	465
Gs_BSI6	V3V4	5	3	1	250	1	250	25	274	489	240	465
Gs_BSI7	V3V4	5	3	1	250	1	250	21	270	485	236	465
Gs_BSI8	V3V4	5	3	1	250	1	250	21	270	485	236	465
Gs_BSI9	V3V4	5	3	1	250	1	250	21	270	480	231	460
Gs_BSI10	V3V4	5	3	1	250	1	250	25	274	589	340	565
