OTU ID	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6	KEGG_Description
K01365	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	cathepsin L [EC:3.4.22.15]
K01364	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	2.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	streptopain [EC:3.4.22.10]
K01361	34.0	29.0	31.0	21.0	17.0	25.0	95.0	41.0	57.0	56.0	33.0	101.0	16.0	10.0	21.0	17.0	12.0	23.0	lactocepin [EC:3.4.21.96]
K01360	2.0	1.0	2.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	proprotein convertase subtilisin/kexin type 2 [EC:3.4.21.94]
K01362	44768.0	40048.0	47883.0	47534.0	57666.0	47890.0	41978.0	37047.0	41322.0	41136.0	44754.0	41491.0	49192.0	57314.0	47779.0	47725.0	52378.0	45934.0	None
K02249	4.0	5.0	3.0	3.0	4.0	3.0	34.0	7.0	7.0	9.0	5.0	17.0	6.0	2.0	4.0	3.0	2.0	4.0	competence protein ComGG
K05841	491.0	876.0	588.0	727.0	637.0	519.0	1176.0	1017.0	977.0	708.0	1110.0	1298.0	1547.0	1277.0	1240.0	983.0	1392.0	788.0	sterol 3beta-glucosyltransferase [EC:2.4.1.173]
K05844	2666.0	2893.0	3056.0	2572.0	2578.0	3094.0	3477.0	3575.0	3183.0	3173.0	3156.0	3328.0	2869.0	2950.0	3353.0	2920.0	2797.0	3377.0	ribosomal protein S6 modification protein
K05845	4985.0	7161.0	6683.0	6483.0	5621.0	5872.0	5746.0	6147.0	5587.0	5266.0	6037.0	6058.0	6773.0	6170.0	6440.0	6939.0	7633.0	6203.0	osmoprotectant transport system substrate-binding protein
K05846	11269.0	15278.0	13870.0	13810.0	12179.0	13300.0	12426.0	12996.0	12007.0	11361.0	12794.0	12899.0	13938.0	12964.0	13795.0	14051.0	15165.0	13445.0	osmoprotectant transport system permease protein
